timestamp,CO_mg_m3,NO2_ug_m3,O3_ug_m3,SO2_ug_m3
2022-01-01T00:00:00Z,0.98,40.0,46.0,14.0
2022-01-01T01:00:00Z,0.96,40.0,43.0,13.0
2022-01-01T02:00:00Z,0.95,44.0,37.0,12.0
2022-01-01T03:00:00Z,0.89,43.0,36.0,12.0
2022-01-01T04:00:00Z,0.86,44.0,31.0,11.0
2022-01-01T05:00:00Z,0.84,44.0,28.0,12.0
2022-01-01T06:00:00Z,0.79,42.0,28.0,11.0
2022-01-01T07:00:00Z,0.75,45.0,24.0,11.0
2022-01-01T08:00:00Z,0.7,45.0,23.0,10.0
2022-01-01T09:00:00Z,0.69,40.0,29.0,10.0
2022-01-01T10:00:00Z,0.8,35.0,36.0,13.0
2022-01-01T11:00:00Z,0.91,32.0,46.0,13.0
2022-01-01T12:00:00Z,0.93,33.0,52.0,13.0
2022-01-01T13:00:00Z,0.86,35.0,61.0,14.0
2022-01-01T14:00:00Z,0.87,37.0,66.0,15.0
2022-01-01T15:00:00Z,0.87,41.0,68.0,15.0
2022-01-01T16:00:00Z,0.93,46.0,68.0,15.0
2022-01-01T17:00:00Z,0.91,54.0,58.0,14.0
2022-01-01T18:00:00Z,0.99,74.0,34.0,13.0
2022-01-01T19:00:00Z,1.19,90.0,10.0,11.0
2022-01-01T20:00:00Z,1.45,93.0,8.0,12.0
2022-01-01T21:00:00Z,1.54,90.0,5.0,11.0
2022-01-01T22:00:00Z,1.51,89.0,5.0,11.0
2022-01-01T23:00:00Z,1.51,88.0,5.0,11.0
2022-01-02T00:00:00Z,1.45,86.0,4.0,11.0
2022-01-02T01:00:00Z,1.44,83.0,5.0,11.0
2022-01-02T02:00:00Z,1.46,79.0,7.0,11.0
2022-01-02T03:00:00Z,1.54,76.0,6.0,11.0
2022-01-02T04:00:00Z,1.61,74.0,7.0,11.0
2022-01-02T05:00:00Z,1.67,73.0,6.0,13.0
2022-01-02T06:00:00Z,1.65,81.0,5.0,13.0
2022-01-02T07:00:00Z,1.41,80.0,5.0,14.0
2022-01-02T08:00:00Z,1.3,77.0,5.0,16.0
2022-01-02T09:00:00Z,1.24,68.0,11.0,15.0
2022-01-02T10:00:00Z,1.14,53.0,23.0,15.0
2022-01-02T11:00:00Z,1.09,46.0,33.0,15.0
2022-01-02T12:00:00Z,1.15,43.0,42.0,15.0
2022-01-02T13:00:00Z,1.04,37.0,53.0,13.0
2022-01-02T14:00:00Z,0.88,36.0,59.0,12.0
2022-01-02T15:00:00Z,0.82,38.0,62.0,12.0
2022-01-02T16:00:00Z,0.79,40.0,61.0,12.0
2022-01-02T17:00:00Z,0.73,45.0,53.0,12.0
2022-01-02T18:00:00Z,0.86,56.0,38.0,13.0
2022-01-02T19:00:00Z,0.99,60.0,34.0,15.0
2022-01-02T20:00:00Z,0.95,59.0,31.0,15.0
2022-01-02T21:00:00Z,0.99,56.0,29.0,14.0
2022-01-02T22:00:00Z,1.01,55.0,25.0,17.0
2022-01-02T23:00:00Z,0.96,52.0,24.0,13.0
2022-01-03T00:00:00Z,0.88,48.0,21.0,10.0
2022-01-03T01:00:00Z,0.85,49.0,16.0,10.0
2022-01-03T02:00:00Z,0.79,47.0,17.0,9.0
2022-01-03T03:00:00Z,0.78,49.0,13.0,8.0
2022-01-03T04:00:00Z,0.74,47.0,14.0,7.0
2022-01-03T05:00:00Z,0.75,46.0,16.0,8.0
2022-01-03T06:00:00Z,0.78,47.0,13.0,8.0
2022-01-03T07:00:00Z,0.83,51.0,10.0,8.0
