timestamp,CO_mg_m3,NO2_ug_m3,O3_ug_m3,SO2_ug_m3
2024-01-01T00:00:00Z,1.39,49.0,16.0,7.0
2024-01-01T01:00:00Z,1.29,45.0,17.0,7.0
2024-01-01T02:00:00Z,1.21,44.0,17.0,7.0
2024-01-01T03:00:00Z,1.02,37.0,26.0,7.0
2024-01-01T04:00:00Z,0.89,30.0,36.0,7.0
2024-01-01T05:00:00Z,0.75,27.0,40.0,7.0
2024-01-01T06:00:00Z,0.74,27.0,37.0,8.0
2024-01-01T07:00:00Z,0.75,32.0,31.0,8.0
2024-01-01T08:00:00Z,0.77,36.0,26.0,8.0
2024-01-01T09:00:00Z,0.8,36.0,26.0,9.0
2024-01-01T10:00:00Z,0.82,30.0,36.0,10.0
2024-01-01T11:00:00Z,0.86,24.0,47.0,9.0
2024-01-01T12:00:00Z,0.86,21.0,58.0,9.0
2024-01-01T13:00:00Z,0.91,20.0,67.0,9.0
2024-01-01T14:00:00Z,0.92,21.0,74.0,9.0
2024-01-01T15:00:00Z,0.94,22.0,80.0,9.0
2024-01-01T16:00:00Z,0.95,23.0,82.0,8.0
2024-01-01T17:00:00Z,1.01,26.0,77.0,8.0
2024-01-01T18:00:00Z,1.07,31.0,69.0,7.0
2024-01-01T19:00:00Z,1.1,37.0,58.0,7.0
2024-01-01T20:00:00Z,1.13,46.0,46.0,7.0
2024-01-01T21:00:00Z,1.21,56.0,30.0,7.0
2024-01-01T22:00:00Z,1.31,67.0,15.0,7.0
2024-01-01T23:00:00Z,1.31,63.0,21.0,7.0
2024-01-02T00:00:00Z,1.18,55.0,30.0,7.0
2024-01-02T01:00:00Z,1.16,55.0,25.0,7.0
2024-01-02T02:00:00Z,1.16,54.0,24.0,7.0
2024-01-02T03:00:00Z,1.11,44.0,34.0,7.0
2024-01-02T04:00:00Z,1.1,46.0,29.0,7.0
2024-01-02T05:00:00Z,1.09,48.0,24.0,7.0
2024-01-02T06:00:00Z,1.14,51.0,22.0,7.0
2024-01-02T07:00:00Z,1.11,52.0,23.0,7.0
2024-01-02T08:00:00Z,1.14,55.0,21.0,7.0
2024-01-02T09:00:00Z,1.27,52.0,23.0,7.0
2024-01-02T10:00:00Z,1.18,56.0,19.0,7.0
2024-01-02T11:00:00Z,1.08,48.0,35.0,8.0
2024-01-02T12:00:00Z,0.99,41.0,46.0,9.0
2024-01-02T13:00:00Z,0.94,38.0,53.0,10.0
2024-01-02T14:00:00Z,0.93,37.0,59.0,10.0
2024-01-02T15:00:00Z,0.99,37.0,67.0,9.0
2024-01-02T16:00:00Z,1.01,38.0,66.0,9.0
2024-01-02T17:00:00Z,1.0,40.0,65.0,9.0
2024-01-02T18:00:00Z,1.11,54.0,47.0,8.0
2024-01-02T19:00:00Z,1.27,64.0,29.0,8.0
2024-01-02T20:00:00Z,1.35,68.0,21.0,7.0
2024-01-02T21:00:00Z,1.36,63.0,20.0,7.0
2024-01-02T22:00:00Z,1.31,60.0,19.0,7.0
2024-01-02T23:00:00Z,1.31,60.0,13.0,7.0
2024-01-03T00:00:00Z,1.27,56.0,11.0,7.0
2024-01-03T01:00:00Z,1.27,50.0,15.0,6.0
2024-01-03T02:00:00Z,1.17,36.0,29.0,6.0
2024-01-03T03:00:00Z,1.14,30.0,36.0,6.0
2024-01-03T04:00:00Z,1.1,26.0,41.0,6.0
2024-01-03T05:00:00Z,1.1,21.0,46.0,5.0
2024-01-03T06:00:00Z,1.14,20.0,45.0,5.0
2024-01-03T07:00:00Z,1.15,22.0,41.0,5.0
2024-01-03T08:00:00Z,1.26,26.0,37.0,5.0
2024-01-03T09:00:00Z,1.27,27.0,36.0,5.0
2024-01-03T10:00:00Z,1.3,29.0,37.0,5.0
2024-01-03T11:00:00Z,1.31,29.0,42.0,5.0
2024-01-03T12:00:00Z,1.33,28.0,49.0,5.0
2024-01-03T13:00:00Z,1.31,29.0,60.0,6.0
2024-01-03T14:00:00Z,1.3,31.0,67.0,8.0
2024-01-03T15:00:00Z,1.27,32.0,69.0,10.0
2024-01-03T16:00:00Z,1.17,35.0,68.0,11.0
2024-01-03T17:00:00Z,1.11,40.0,62.0,10.0
2024-01-03T18:00:00Z,1.29,60.0,37.0,9.0
2024-01-03T19:00:00Z,1.49,77.0,14.0,8.0
2024-01-03T20:00:00Z,1.62,78.0,7.0,8.0
2024-01-03T21:00:00Z,1.56,75.0,5.0,8.0
2024-01-03T22:00:00Z,1.56,74.0,5.0,8.0
2024-01-03T23:00:00Z,1.36,69.0,12.0,8.0
2024-01-04T00:00:00Z,1.23,59.0,14.0,7.0
2024-01-04T01:00:00Z,1.14,47.0,19.0,6.0
2024-01-04T02:00:00Z,1.13,40.0,20.0,6.0
2024-01-04T03:00:00Z,1.1,35.0,24.0,5.0
2024-01-04T04:00:00Z,1.07,30.0,29.0,5.0
2024-01-04T05:00:00Z,1.04,29.0,31.0,5.0
2024-01-04T06:00:00Z,1.0,27.0,33.0,5.0
2024-01-04T07:00:00Z,0.95,27.0,35.0,5.0
2024-01-04T08:00:00Z,0.96,28.0,36.0,5.0
2024-01-04T09:00:00Z,1.0,26.0,40.0,5.0
2024-01-04T10:00:00Z,1.0,25.0,41.0,5.0
2024-01-04T11:00:00Z,0.96,24.0,43.0,5.0
2024-01-04T12:00:00Z,0.92,23.0,46.0,6.0
2024-01-04T13:00:00Z,0.89,24.0,56.0,7.0
2024-01-04T14:00:00Z,0.79,24.0,66.0,7.0
2024-01-04T15:00:00Z,0.76,26.0,69.0,7.0
2024-01-04T16:00:00Z,0.79,30.0,65.0,7.0
2024-01-04T17:00:00Z,0.78,36.0,55.0,7.0
2024-01-04T18:00:00Z,0.8,44.0,42.0,7.0
2024-01-04T19:00:00Z,0.99,60.0,23.0,7.0
2024-01-04T20:00:00Z,1.05,62.0,21.0,7.0
2024-01-04T21:00:00Z,0.94,56.0,24.0,7.0
2024-01-04T22:00:00Z,0.95,56.0,19.0,7.0
2024-01-04T23:00:00Z,1.01,56.0,16.0,7.0
2024-01-05T00:00:00Z,1.05,61.0,9.0,7.0
2024-01-05T01:00:00Z,0.99,57.0,5.0,7.0
2024-01-05T02:00:00Z,0.97,53.0,6.0,7.0
2024-01-05T03:00:00Z,0.93,54.0,3.0,7.0
2024-01-05T04:00:00Z,0.91,55.0,3.0,7.0
2024-01-05T05:00:00Z,0.9,53.0,3.0,7.0
2024-01-05T06:00:00Z,0.95,53.0,4.0,7.0
2024-01-05T07:00:00Z,1.06,52.0,3.0,7.0
2024-01-05T08:00:00Z,1.16,52.0,3.0,7.0
2024-01-05T09:00:00Z,1.3,50.0,7.0,8.0
2024-01-05T10:00:00Z,1.35,52.0,16.0,10.0
2024-01-05T11:00:00Z,1.21,49.0,32.0,12.0
2024-01-05T12:00:00Z,1.2,44.0,51.0,14.0
2024-01-05T13:00:00Z,1.15,43.0,67.0,15.0
2024-01-05T14:00:00Z,1.07,40.0,82.0,14.0
2024-01-05T15:00:00Z,1.1,41.0,86.0,13.0
2024-01-05T16:00:00Z,1.04,42.0,87.0,12.0
2024-01-05T17:00:00Z,1.04,48.0,78.0,11.0
2024-01-05T18:00:00Z,1.21,77.0,45.0,10.0
2024-01-05T19:00:00Z,1.55,99.0,15.0,10.0
2024-01-05T20:00:00Z,1.8,97.0,13.0,9.0
2024-01-05T21:00:00Z,1.84,92.0,13.0,10.0
2024-01-05T22:00:00Z,1.82,86.0,8.0,9.0
2024-01-05T23:00:00Z,1.75,82.0,6.0,9.0
2024-01-06T00:00:00Z,1.61,74.0,7.0,8.0
2024-01-06T01:00:00Z,1.5,70.0,7.0,8.0
2024-01-06T02:00:00Z,1.53,71.0,5.0,8.0
2024-01-06T03:00:00Z,1.69,73.0,4.0,9.0
2024-01-06T04:00:00Z,1.78,73.0,4.0,9.0
2024-01-06T05:00:00Z,1.68,69.0,4.0,11.0
2024-01-06T06:00:00Z,1.59,66.0,3.0,9.0
2024-01-06T07:00:00Z,1.6,63.0,3.0,8.0
2024-01-06T08:00:00Z,1.59,62.0,5.0,9.0
2024-01-06T09:00:00Z,1.64,65.0,7.0,11.0
2024-01-06T10:00:00Z,1.51,61.0,18.0,14.0
2024-01-06T11:00:00Z,1.36,58.0,36.0,16.0
2024-01-06T12:00:00Z,1.36,58.0,49.0,17.0
2024-01-06T13:00:00Z,1.32,48.0,70.0,18.0
2024-01-06T14:00:00Z,1.17,41.0,79.0,23.0
2024-01-06T15:00:00Z,1.0,38.0,79.0,24.0
2024-01-06T16:00:00Z,1.01,52.0,58.0,19.0
2024-01-06T17:00:00Z,0.91,48.0,58.0,18.0
2024-01-06T18:00:00Z,0.8,44.0,54.0,15.0
2024-01-06T19:00:00Z,0.74,44.0,44.0,13.0
2024-01-06T20:00:00Z,0.6,39.0,40.0,10.0
2024-01-06T21:00:00Z,0.61,39.0,36.0,10.0
2024-01-06T22:00:00Z,0.57,37.0,37.0,9.0
2024-01-06T23:00:00Z,0.54,34.0,39.0,9.0
2024-01-07T00:00:00Z,0.61,35.0,33.0,10.0
2024-01-07T01:00:00Z,0.57,38.0,26.0,9.0
2024-01-07T02:00:00Z,0.56,42.0,19.0,9.0
2024-01-07T03:00:00Z,0.63,49.0,11.0,9.0
2024-01-07T04:00:00Z,0.68,52.0,9.0,10.0
2024-01-07T05:00:00Z,0.64,50.0,10.0,11.0
2024-01-07T06:00:00Z,0.66,50.0,9.0,11.0
2024-01-07T07:00:00Z,0.71,51.0,7.0,12.0
2024-01-07T08:00:00Z,0.72,50.0,8.0,13.0
2024-01-07T09:00:00Z,0.78,41.0,18.0,14.0
2024-01-07T10:00:00Z,0.71,35.0,30.0,14.0
2024-01-07T11:00:00Z,0.64,30.0,38.0,13.0
2024-01-07T12:00:00Z,0.61,27.0,46.0,12.0
2024-01-07T13:00:00Z,0.57,24.0,55.0,12.0
2024-01-07T14:00:00Z,0.53,21.0,62.0,10.0
2024-01-07T15:00:00Z,0.49,20.0,65.0,9.0
2024-01-07T16:00:00Z,0.54,23.0,65.0,8.0
2024-01-07T17:00:00Z,0.5,28.0,60.0,9.0
2024-01-07T18:00:00Z,0.54,35.0,52.0,9.0
2024-01-07T19:00:00Z,0.61,43.0,41.0,10.0
2024-01-07T20:00:00Z,0.61,37.0,42.0,10.0
2024-01-07T21:00:00Z,0.59,34.0,41.0,11.0
2024-01-07T22:00:00Z,0.61,33.0,40.0,9.0
2024-01-07T23:00:00Z,0.64,33.0,39.0,9.0
2024-01-08T00:00:00Z,0.65,34.0,36.0,11.0
2024-01-08T01:00:00Z,0.66,35.0,30.0,9.0
2024-01-08T02:00:00Z,0.61,34.0,29.0,8.0
2024-01-08T03:00:00Z,0.56,30.0,32.0,8.0
2024-01-08T04:00:00Z,0.56,28.0,34.0,8.0
2024-01-08T05:00:00Z,0.59,30.0,32.0,8.0
2024-01-08T06:00:00Z,0.63,28.0,32.0,8.0
2024-01-08T07:00:00Z,0.6,28.0,33.0,8.0
2024-01-08T08:00:00Z,0.61,32.0,29.0,8.0
2024-01-08T09:00:00Z,0.59,30.0,33.0,9.0
2024-01-08T10:00:00Z,0.56,26.0,39.0,9.0
2024-01-08T11:00:00Z,0.57,22.0,46.0,9.0
2024-01-08T12:00:00Z,0.63,21.0,52.0,10.0
2024-01-08T13:00:00Z,0.65,20.0,59.0,10.0
2024-01-08T14:00:00Z,0.66,21.0,64.0,9.0
2024-01-08T15:00:00Z,0.7,23.0,66.0,10.0
2024-01-08T16:00:00Z,0.74,26.0,64.0,10.0
2024-01-08T17:00:00Z,0.74,28.0,59.0,10.0
2024-01-08T18:00:00Z,0.75,31.0,51.0,9.0
2024-01-08T19:00:00Z,0.75,34.0,41.0,9.0
2024-01-08T20:00:00Z,0.79,37.0,35.0,9.0
2024-01-08T21:00:00Z,0.79,41.0,28.0,9.0
2024-01-08T22:00:00Z,0.8,43.0,23.0,9.0
2024-01-08T23:00:00Z,0.8,42.0,22.0,8.0
2024-01-09T00:00:00Z,0.81,37.0,25.0,9.0
2024-01-09T01:00:00Z,0.8,38.0,22.0,8.0
2024-01-09T02:00:00Z,0.85,43.0,15.0,8.0
2024-01-09T03:00:00Z,0.86,48.0,9.0,8.0
2024-01-09T04:00:00Z,0.88,49.0,8.0,7.0
2024-01-09T05:00:00Z,0.93,49.0,6.0,8.0
2024-01-09T06:00:00Z,0.94,49.0,5.0,8.0
2024-01-09T07:00:00Z,1.04,50.0,4.0,8.0
2024-01-09T08:00:00Z,1.15,49.0,4.0,8.0
2024-01-09T09:00:00Z,1.2,49.0,6.0,9.0
2024-01-09T10:00:00Z,1.21,52.0,9.0,10.0
2024-01-09T11:00:00Z,1.11,53.0,14.0,10.0
2024-01-09T12:00:00Z,1.07,44.0,22.0,10.0
2024-01-09T13:00:00Z,1.05,37.0,38.0,9.0
2024-01-09T14:00:00Z,0.99,34.0,45.0,8.0
2024-01-09T15:00:00Z,0.99,38.0,44.0,7.0
2024-01-09T16:00:00Z,1.0,41.0,47.0,7.0
2024-01-09T17:00:00Z,1.02,46.0,38.0,7.0
2024-01-09T18:00:00Z,1.06,51.0,25.0,7.0
2024-01-09T19:00:00Z,1.14,55.0,11.0,8.0
2024-01-09T20:00:00Z,1.16,59.0,6.0,9.0
2024-01-09T21:00:00Z,1.19,63.0,4.0,10.0
2024-01-09T22:00:00Z,1.24,64.0,3.0,11.0
2024-01-09T23:00:00Z,1.2,62.0,4.0,10.0
2024-01-10T00:00:00Z,1.2,59.0,6.0,10.0
2024-01-10T01:00:00Z,1.21,58.0,4.0,10.0
2024-01-10T02:00:00Z,1.24,58.0,4.0,10.0
